Institution	Category	Area	Value
University of California, Los Angeles	Theory of Value	Metaethics & Moral Psychology	3
University of California, Los Angeles	Theory of Value	Applied Ethics	4
University of California, Los Angeles	Theory of Value	Political Philosophy	2
University of California, Los Angeles	Theory of Value	Philosophy of Law	1
University of California, Los Angeles	Theory of Value	Philosophy of Art	
University of California, Los Angeles	History of Philosophy	Acnient Philosophy	
University of California, Los Angeles	History of Philosophy	Medieval Philosophy	3
University of California, Los Angeles	History of Philosophy	Early Modern: 17th Century	3
University of California, Los Angeles	History of Philosophy	Early Modern: 18th Century	5
University of California, Los Angeles	History of Philosophy	Kant	3
University of California, Los Angeles	History of Philosophy	19th Century Continental	
University of California, Los Angeles	History of Philosophy	20th Century Continental	
University of California, Los Angeles	History of Philosophy	History of Analytic	3
University of California, Los Angeles	History of Philosophy	American Pragmatism	
University of California, Los Angeles	Other Areas	Feminist Philosophy	
University of California, Los Angeles	Other Areas	Chinese Philosophy	
University of California, Los Angeles	Other Areas	Philosophy of Race	
University of California, Riverside	Metaphysics & Epistemology	Philosophy of Language	4
University of California, Riverside	Metaphysics & Epistemology	Philosophy of Mind	4
University of California, Riverside	Metaphysics & Epistemology	Metaphysics	
University of California, Riverside	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	4
University of California, Riverside	Metaphysics & Epistemology	Philosophical Logic	
University of California, Riverside	Metaphysics & Epistemology	Philosophy of Action	2
University of California, Riverside	Metaphysics & Epistemology	Philosophy of Religion	
University of California, Riverside	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
University of California, Riverside	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
University of California, Riverside	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
University of California, Riverside	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
University of California, Riverside	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	4
University of California, Riverside	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
University of California, Riverside	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of California, Riverside	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of California, Riverside	Theory of Value	Normative Ethics	4
University of California, Riverside	Theory of Value	Metaethics & Moral Psychology	4
University of California, Riverside	Theory of Value	Applied Ethics	4
University of California, Riverside	Theory of Value	Political Philosophy	
University of California, Riverside	Theory of Value	Philosophy of Law	
University of California, Riverside	Theory of Value	Philosophy of Art	
University of California, Riverside	History of Philosophy	Acnient Philosophy	
University of California, Riverside	History of Philosophy	Medieval Philosophy	
University of California, Riverside	History of Philosophy	Early Modern: 17th Century	
University of California, Riverside	History of Philosophy	Early Modern: 18th Century	
University of California, Riverside	History of Philosophy	Kant	2
University of California, Riverside	History of Philosophy	19th Century Continental	3
University of California, Riverside	History of Philosophy	20th Century Continental	4
University of California, Riverside	History of Philosophy	History of Analytic	3
University of California, Riverside	History of Philosophy	American Pragmatism	
University of California, Riverside	Other Areas	Feminist Philosophy	2
University of California, Riverside	Other Areas	Chinese Philosophy	2
University of California, Riverside	Other Areas	Philosophy of Race	
University of California, San Diego	Metaphysics & Epistemology	Philosophy of Language	
University of California, San Diego	Metaphysics & Epistemology	Philosophy of Mind	3
University of California, San Diego	Metaphysics & Epistemology	Metaphysics	4
University of California, San Diego	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	4
University of California, San Diego	Metaphysics & Epistemology	Philosophical Logic	4
University of California, San Diego	Metaphysics & Epistemology	Philosophy of Action	2
University of California, San Diego	Metaphysics & Epistemology	Philosophy of Religion	
University of California, San Diego	Philosophy of the Sciences and Mathematics	General Philosophy of Science	3
University of California, San Diego	Philosophy of the Sciences and Mathematics	Philosophy of Physics	3
University of California, San Diego	Philosophy of the Sciences and Mathematics	Philosophy of Biology	4
University of California, San Diego	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	2
University of California, San Diego	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	2
University of California, San Diego	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	3
University of California, San Diego	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of California, San Diego	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of California, San Diego	Theory of Value	Normative Ethics	3
University of California, San Diego	Theory of Value	Metaethics & Moral Psychology	3
University of California, San Diego	Theory of Value	Applied Ethics	3
University of California, San Diego	Theory of Value	Political Philosophy	3
University of California, San Diego	Theory of Value	Philosophy of Law	
University of California, San Diego	Theory of Value	Philosophy of Art	
University of California, San Diego	History of Philosophy	Acnient Philosophy	
University of California, San Diego	History of Philosophy	Medieval Philosophy	
University of California, San Diego	History of Philosophy	Early Modern: 17th Century	4
University of California, San Diego	History of Philosophy	Early Modern: 18th Century	4
University of California, San Diego	History of Philosophy	Kant	1
University of California, San Diego	History of Philosophy	19th Century Continental	4
University of California, San Diego	History of Philosophy	20th Century Continental	
University of California, San Diego	History of Philosophy	History of Analytic	
University of California, San Diego	History of Philosophy	American Pragmatism	
University of California, San Diego	Other Areas	Feminist Philosophy	
University of California, San Diego	Other Areas	Chinese Philosophy	
University of California, San Diego	Other Areas	Philosophy of Race	2
University of California, Santa Barbara	Metaphysics & Epistemology	Philosophy of Language	3
University of California, Santa Barbara	Metaphysics & Epistemology	Philosophy of Mind	
University of California, Santa Barbara	Metaphysics & Epistemology	Metaphysics	3
University of California, Santa Barbara	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
University of California, Santa Barbara	Metaphysics & Epistemology	Philosophical Logic	
University of California, Santa Barbara	Metaphysics & Epistemology	Philosophy of Action	
University of California, Santa Barbara	Metaphysics & Epistemology	Philosophy of Religion	
University of California, Santa Barbara	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
University of California, Santa Barbara	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
University of California, Santa Barbara	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
University of California, Santa Barbara	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
University of California, Santa Barbara	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
University of California, Santa Barbara	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
University of California, Santa Barbara	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of California, Santa Barbara	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of California, Santa Barbara	Theory of Value	Normative Ethics	4
University of California, Santa Barbara	Theory of Value	Metaethics & Moral Psychology	
University of California, Santa Barbara	Theory of Value	Applied Ethics	
University of California, Santa Barbara	Theory of Value	Political Philosophy	
University of California, Santa Barbara	Theory of Value	Philosophy of Law	
University of California, Santa Barbara	Theory of Value	Philosophy of Art	
University of California, Santa Barbara	History of Philosophy	Acnient Philosophy	
University of California, Santa Barbara	History of Philosophy	Medieval Philosophy	
University of California, Santa Barbara	History of Philosophy	Early Modern: 17th Century	
University of California, Santa Barbara	History of Philosophy	Early Modern: 18th Century	5
University of California, Santa Barbara	History of Philosophy	Kant	
University of California, Santa Barbara	History of Philosophy	19th Century Continental	
University of California, Santa Barbara	History of Philosophy	20th Century Continental	
University of California, Santa Barbara	History of Philosophy	History of Analytic	
University of California, Santa Barbara	History of Philosophy	American Pragmatism	
University of California, Santa Barbara	Other Areas	Feminist Philosophy	
University of California, Santa Barbara	Other Areas	Chinese Philosophy	
University of California, Santa Barbara	Other Areas	Philosophy of Race	
University of Chicago	Metaphysics & Epistemology	Philosophy of Language	4
University of Chicago	Metaphysics & Epistemology	Philosophy of Mind	
University of Chicago	Metaphysics & Epistemology	Metaphysics	
University of Chicago	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
University of Chicago	Metaphysics & Epistemology	Philosophical Logic	4
University of Chicago	Metaphysics & Epistemology	Philosophy of Action	
University of Chicago	Metaphysics & Epistemology	Philosophy of Religion	
University of Chicago	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
University of Chicago	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
University of Chicago	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
University of Chicago	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
University of Chicago	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
University of Chicago	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
University of Chicago	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of Chicago	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of Chicago	Theory of Value	Normative Ethics	4
University of Chicago	Theory of Value	Metaethics & Moral Psychology	4
University of Chicago	Theory of Value	Applied Ethics	4
University of Chicago	Theory of Value	Political Philosophy	3
University of Chicago	Theory of Value	Philosophy of Law	1
University of Chicago	Theory of Value	Philosophy of Art	2
University of Chicago	History of Philosophy	Acnient Philosophy	2
University of Chicago	History of Philosophy	Medieval Philosophy	
University of Chicago	History of Philosophy	Early Modern: 17th Century	
University of Chicago	History of Philosophy	Early Modern: 18th Century	
University of Chicago	History of Philosophy	Kant	2
University of Chicago	History of Philosophy	19th Century Continental	1
University of Chicago	History of Philosophy	20th Century Continental	3
University of Chicago	History of Philosophy	History of Analytic	2
University of Chicago	History of Philosophy	American Pragmatism	
University of Chicago	Other Areas	Feminist Philosophy	1
University of Chicago	Other Areas	Chinese Philosophy	
University of Chicago	Other Areas	Philosophy of Race	
University of Cincinnati	Metaphysics & Epistemology	Philosophy of Language	
University of Cincinnati	Metaphysics & Epistemology	Philosophy of Mind	4
University of Cincinnati	Metaphysics & Epistemology	Metaphysics	
University of Cincinnati	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
University of Cincinnati	Metaphysics & Epistemology	Philosophical Logic	
University of Cincinnati	Metaphysics & Epistemology	Philosophy of Action	
University of Cincinnati	Metaphysics & Epistemology	Philosophy of Religion	
University of Cincinnati	Philosophy of the Sciences and Mathematics	General Philosophy of Science	5
University of Cincinnati	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
University of Cincinnati	Philosophy of the Sciences and Mathematics	Philosophy of Biology	4
University of Cincinnati	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
University of Cincinnati	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	4
University of Cincinnati	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
University of Cincinnati	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of Cincinnati	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of Cincinnati	Theory of Value	Normative Ethics	
University of Cincinnati	Theory of Value	Metaethics & Moral Psychology	
University of Cincinnati	Theory of Value	Applied Ethics	
University of Cincinnati	Theory of Value	Political Philosophy	
University of Cincinnati	Theory of Value	Philosophy of Law	
University of Cincinnati	Theory of Value	Philosophy of Art	
University of Cincinnati	History of Philosophy	Acnient Philosophy	
University of Cincinnati	History of Philosophy	Medieval Philosophy	
University of Cincinnati	History of Philosophy	Early Modern: 17th Century	
University of Cincinnati	History of Philosophy	Early Modern: 18th Century	
University of Cincinnati	History of Philosophy	Kant	
University of Cincinnati	History of Philosophy	19th Century Continental	
University of Cincinnati	History of Philosophy	20th Century Continental	
University of Cincinnati	History of Philosophy	History of Analytic	
University of Cincinnati	History of Philosophy	American Pragmatism	
University of Cincinnati	Other Areas	Feminist Philosophy	
University of Cincinnati	Other Areas	Chinese Philosophy	
University of Cincinnati	Other Areas	Philosophy of Race	
University of Colorado, Boulder	Metaphysics & Epistemology	Philosophy of Language	
University of Colorado, Boulder	Metaphysics & Epistemology	Philosophy of Mind	
University of Colorado, Boulder	Metaphysics & Epistemology	Metaphysics	4
University of Colorado, Boulder	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	3
University of Colorado, Boulder	Metaphysics & Epistemology	Philosophical Logic	
University of Colorado, Boulder	Metaphysics & Epistemology	Philosophy of Action	
University of Colorado, Boulder	Metaphysics & Epistemology	Philosophy of Religion	
University of Colorado, Boulder	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
University of Colorado, Boulder	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
University of Colorado, Boulder	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
University of Colorado, Boulder	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
University of Colorado, Boulder	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
University of Colorado, Boulder	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
University of Colorado, Boulder	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of Colorado, Boulder	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of Colorado, Boulder	Theory of Value	Normative Ethics	3
University of Colorado, Boulder	Theory of Value	Metaethics & Moral Psychology	3
University of Colorado, Boulder	Theory of Value	Applied Ethics	3
University of Colorado, Boulder	Theory of Value	Political Philosophy	4
University of Colorado, Boulder	Theory of Value	Philosophy of Law	
University of Colorado, Boulder	Theory of Value	Philosophy of Art	
University of Colorado, Boulder	History of Philosophy	Acnient Philosophy	4
University of Colorado, Boulder	History of Philosophy	Medieval Philosophy	1
University of Colorado, Boulder	History of Philosophy	Early Modern: 17th Century	5
University of Colorado, Boulder	History of Philosophy	Early Modern: 18th Century	
University of Colorado, Boulder	History of Philosophy	Kant	
University of Colorado, Boulder	History of Philosophy	19th Century Continental	
University of Colorado, Boulder	History of Philosophy	20th Century Continental	
University of Colorado, Boulder	History of Philosophy	History of Analytic	
University of Colorado, Boulder	History of Philosophy	American Pragmatism	
University of Colorado, Boulder	Other Areas	Feminist Philosophy	
University of Colorado, Boulder	Other Areas	Chinese Philosophy	
University of Colorado, Boulder	Other Areas	Philosophy of Race	
University of Connecticut, Storrs	Metaphysics & Epistemology	Philosophy of Language	3
University of Connecticut, Storrs	Metaphysics & Epistemology	Philosophy of Mind	
University of Connecticut, Storrs	Metaphysics & Epistemology	Metaphysics	
University of Connecticut, Storrs	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
University of Connecticut, Storrs	Metaphysics & Epistemology	Philosophical Logic	3
University of Connecticut, Storrs	Metaphysics & Epistemology	Philosophy of Action	
University of Connecticut, Storrs	Metaphysics & Epistemology	Philosophy of Religion	
University of Connecticut, Storrs	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
University of Connecticut, Storrs	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
University of Connecticut, Storrs	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
University of Connecticut, Storrs	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
University of Connecticut, Storrs	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
University of Connecticut, Storrs	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
University of Connecticut, Storrs	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of Connecticut, Storrs	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of Connecticut, Storrs	Theory of Value	Normative Ethics	
University of Connecticut, Storrs	Theory of Value	Metaethics & Moral Psychology	4
University of Connecticut, Storrs	Theory of Value	Applied Ethics	
University of Connecticut, Storrs	Theory of Value	Political Philosophy	
University of Connecticut, Storrs	Theory of Value	Philosophy of Law	
University of Connecticut, Storrs	Theory of Value	Philosophy of Art	
University of Connecticut, Storrs	History of Philosophy	Acnient Philosophy	
University of Connecticut, Storrs	History of Philosophy	Medieval Philosophy	
University of Connecticut, Storrs	History of Philosophy	Early Modern: 17th Century	
University of Connecticut, Storrs	History of Philosophy	Early Modern: 18th Century	5
University of Connecticut, Storrs	History of Philosophy	Kant	
University of Connecticut, Storrs	History of Philosophy	19th Century Continental	
University of Connecticut, Storrs	History of Philosophy	20th Century Continental	
University of Connecticut, Storrs	History of Philosophy	History of Analytic	4
University of Connecticut, Storrs	History of Philosophy	American Pragmatism	
University of Connecticut, Storrs	Other Areas	Feminist Philosophy	2
University of Connecticut, Storrs	Other Areas	Chinese Philosophy	
University of Connecticut, Storrs	Other Areas	Philosophy of Race	
University of Durham	Metaphysics & Epistemology	Philosophy of Language	
University of Durham	Metaphysics & Epistemology	Philosophy of Mind	
University of Durham	Metaphysics & Epistemology	Metaphysics	3
University of Durham	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
University of Durham	Metaphysics & Epistemology	Philosophical Logic	
University of Durham	Metaphysics & Epistemology	Philosophy of Action	
University of Durham	Metaphysics & Epistemology	Philosophy of Religion	
University of Durham	Philosophy of the Sciences and Mathematics	General Philosophy of Science	5
University of Durham	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
University of Durham	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
University of Durham	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	2
University of Durham	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
University of Durham	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
University of Durham	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of Durham	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of Durham	Theory of Value	Normative Ethics	
University of Durham	Theory of Value	Metaethics & Moral Psychology	
University of Durham	Theory of Value	Applied Ethics	
University of Durham	Theory of Value	Political Philosophy	
University of Durham	Theory of Value	Philosophy of Law	
University of Durham	Theory of Value	Philosophy of Art	
University of Durham	History of Philosophy	Acnient Philosophy	
University of Durham	History of Philosophy	Medieval Philosophy	
University of Durham	History of Philosophy	Early Modern: 17th Century	
University of Durham	History of Philosophy	Early Modern: 18th Century	
University of Durham	History of Philosophy	Kant	
University of Durham	History of Philosophy	19th Century Continental	
University of Durham	History of Philosophy	20th Century Continental	
University of Durham	History of Philosophy	History of Analytic	
University of Durham	History of Philosophy	American Pragmatism	
University of Durham	Other Areas	Feminist Philosophy	
University of Durham	Other Areas	Chinese Philosophy	
University of Durham	Other Areas	Philosophy of Race	
University of Edinburgh	Metaphysics & Epistemology	Philosophy of Language	3
University of Edinburgh	Metaphysics & Epistemology	Philosophy of Mind	4
University of Edinburgh	Metaphysics & Epistemology	Metaphysics	
University of Edinburgh	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	4
University of Edinburgh	Metaphysics & Epistemology	Philosophical Logic	4
University of Edinburgh	Metaphysics & Epistemology	Philosophy of Action	
University of Edinburgh	Metaphysics & Epistemology	Philosophy of Religion	
University of Edinburgh	Philosophy of the Sciences and Mathematics	General Philosophy of Science	5
University of Edinburgh	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
University of Edinburgh	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
University of Edinburgh	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
University of Edinburgh	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	4
University of Edinburgh	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
University of Edinburgh	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of Edinburgh	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of Edinburgh	Theory of Value	Normative Ethics	3
University of Edinburgh	Theory of Value	Metaethics & Moral Psychology	2
University of Edinburgh	Theory of Value	Applied Ethics	4
University of Edinburgh	Theory of Value	Political Philosophy	4
University of Edinburgh	Theory of Value	Philosophy of Law	3
University of Edinburgh	Theory of Value	Philosophy of Art	
University of Edinburgh	History of Philosophy	Acnient Philosophy	
University of Edinburgh	History of Philosophy	Medieval Philosophy	
University of Edinburgh	History of Philosophy	Early Modern: 17th Century	5
University of Edinburgh	History of Philosophy	Early Modern: 18th Century	3
University of Edinburgh	History of Philosophy	Kant	3
University of Edinburgh	History of Philosophy	19th Century Continental	
University of Edinburgh	History of Philosophy	20th Century Continental	
University of Edinburgh	History of Philosophy	History of Analytic	
University of Edinburgh	History of Philosophy	American Pragmatism	
University of Edinburgh	Other Areas	Feminist Philosophy	
University of Edinburgh	Other Areas	Chinese Philosophy	
University of Edinburgh	Other Areas	Philosophy of Race	2
University of Glasgow	Metaphysics & Epistemology	Philosophy of Language	4
University of Glasgow	Metaphysics & Epistemology	Philosophy of Mind	4
University of Glasgow	Metaphysics & Epistemology	Metaphysics	
University of Glasgow	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	3
University of Glasgow	Metaphysics & Epistemology	Philosophical Logic	
University of Glasgow	Metaphysics & Epistemology	Philosophy of Action	
University of Glasgow	Metaphysics & Epistemology	Philosophy of Religion	
University of Glasgow	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
University of Glasgow	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
University of Glasgow	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
University of Glasgow	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
University of Glasgow	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
University of Glasgow	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
University of Glasgow	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of Glasgow	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of Glasgow	Theory of Value	Normative Ethics	
University of Glasgow	Theory of Value	Metaethics & Moral Psychology	
University of Glasgow	Theory of Value	Applied Ethics	
University of Glasgow	Theory of Value	Political Philosophy	
University of Glasgow	Theory of Value	Philosophy of Law	
University of Glasgow	Theory of Value	Philosophy of Art	
University of Glasgow	History of Philosophy	Acnient Philosophy	
University of Glasgow	History of Philosophy	Medieval Philosophy	
University of Glasgow	History of Philosophy	Early Modern: 17th Century	
University of Glasgow	History of Philosophy	Early Modern: 18th Century	
University of Glasgow	History of Philosophy	Kant	
University of Glasgow	History of Philosophy	19th Century Continental	
University of Glasgow	History of Philosophy	20th Century Continental	
University of Glasgow	History of Philosophy	History of Analytic	
University of Glasgow	History of Philosophy	American Pragmatism	
University of Glasgow	Other Areas	Feminist Philosophy	
University of Glasgow	Other Areas	Chinese Philosophy	
University of Glasgow	Other Areas	Philosophy of Race	
University of Illinois, Chicago	Metaphysics & Epistemology	Philosophy of Language	4
University of Illinois, Chicago	Metaphysics & Epistemology	Philosophy of Mind	
University of Illinois, Chicago	Metaphysics & Epistemology	Metaphysics	
University of Illinois, Chicago	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
University of Illinois, Chicago	Metaphysics & Epistemology	Philosophical Logic	
University of Illinois, Chicago	Metaphysics & Epistemology	Philosophy of Action	
University of Illinois, Chicago	Metaphysics & Epistemology	Philosophy of Religion	
University of Illinois, Chicago	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
University of Illinois, Chicago	Philosophy of the Sciences and Mathematics	Philosophy of Physics	4
University of Illinois, Chicago	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
University of Illinois, Chicago	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
University of Illinois, Chicago	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
University of Illinois, Chicago	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
University of Illinois, Chicago	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of Illinois, Chicago	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of Illinois, Chicago	Theory of Value	Normative Ethics	
University of Illinois, Chicago	Theory of Value	Metaethics & Moral Psychology	
University of Illinois, Chicago	Theory of Value	Applied Ethics	
University of Illinois, Chicago	Theory of Value	Political Philosophy	
University of Illinois, Chicago	Theory of Value	Philosophy of Law	
University of Illinois, Chicago	Theory of Value	Philosophy of Art	2
University of Illinois, Chicago	History of Philosophy	Acnient Philosophy	
University of Illinois, Chicago	History of Philosophy	Medieval Philosophy	
University of Illinois, Chicago	History of Philosophy	Early Modern: 17th Century	5
University of Illinois, Chicago	History of Philosophy	Early Modern: 18th Century	5
University of Illinois, Chicago	History of Philosophy	Kant	3
University of Illinois, Chicago	History of Philosophy	19th Century Continental	
University of Illinois, Chicago	History of Philosophy	20th Century Continental	
University of Illinois, Chicago	History of Philosophy	History of Analytic	
University of Illinois, Chicago	History of Philosophy	American Pragmatism	
University of Illinois, Chicago	Other Areas	Feminist Philosophy	
University of Illinois, Chicago	Other Areas	Chinese Philosophy	
University of Illinois, Chicago	Other Areas	Philosophy of Race	
University of Leeds	Metaphysics & Epistemology	Philosophy of Language	4
University of Leeds	Metaphysics & Epistemology	Philosophy of Mind	
University of Leeds	Metaphysics & Epistemology	Metaphysics	3
University of Leeds	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
University of Leeds	Metaphysics & Epistemology	Philosophical Logic	
University of Leeds	Metaphysics & Epistemology	Philosophy of Action	
University of Leeds	Metaphysics & Epistemology	Philosophy of Religion	
University of Leeds	Philosophy of the Sciences and Mathematics	General Philosophy of Science	5
University of Leeds	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
University of Leeds	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
University of Leeds	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
University of Leeds	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
University of Leeds	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
University of Leeds	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of Leeds	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of Leeds	Theory of Value	Normative Ethics	4
University of Leeds	Theory of Value	Metaethics & Moral Psychology	4
University of Leeds	Theory of Value	Applied Ethics	
University of Leeds	Theory of Value	Political Philosophy	
University of Leeds	Theory of Value	Philosophy of Law	
University of Leeds	Theory of Value	Philosophy of Art	2
University of Leeds	History of Philosophy	Acnient Philosophy	
University of Leeds	History of Philosophy	Medieval Philosophy	
University of Leeds	History of Philosophy	Early Modern: 17th Century	
University of Leeds	History of Philosophy	Early Modern: 18th Century	
University of Leeds	History of Philosophy	Kant	
University of Leeds	History of Philosophy	19th Century Continental	
University of Leeds	History of Philosophy	20th Century Continental	
University of Leeds	History of Philosophy	History of Analytic	
University of Leeds	History of Philosophy	American Pragmatism	
University of Leeds	Other Areas	Feminist Philosophy	
University of Leeds	Other Areas	Chinese Philosophy	
University of Leeds	Other Areas	Philosophy of Race	
University of Manchester	Metaphysics & Epistemology	Philosophy of Language	
University of Manchester	Metaphysics & Epistemology	Philosophy of Mind	
University of Manchester	Metaphysics & Epistemology	Metaphysics	4
University of Manchester	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
University of Manchester	Metaphysics & Epistemology	Philosophical Logic	
University of Manchester	Metaphysics & Epistemology	Philosophy of Action	4
University of Manchester	Metaphysics & Epistemology	Philosophy of Religion	
University of Manchester	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
University of Manchester	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
University of Manchester	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
University of Manchester	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
University of Manchester	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
University of Manchester	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
University of Manchester	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
University of Manchester	Philosophy of the Sciences and Mathematics	Mathematical Logic	
University of Manchester	Theory of Value	Normative Ethics	
University of Manchester	Theory of Value	Metaethics & Moral Psychology	
University of Manchester	Theory of Value	Applied Ethics	
University of Manchester	Theory of Value	Political Philosophy	
University of Manchester	Theory of Value	Philosophy of Law	
University of Manchester	Theory of Value	Philosophy of Art	
University of Manchester	History of Philosophy	Acnient Philosophy	
University of Manchester	History of Philosophy	Medieval Philosophy	
University of Manchester	History of Philosophy	Early Modern: 17th Century	
University of Manchester	History of Philosophy	Early Modern: 18th Century	
University of Manchester	History of Philosophy	Kant	
University of Manchester	History of Philosophy	19th Century Continental	
University of Manchester	History of Philosophy	20th Century Continental	
University of Manchester	History of Philosophy	History of Analytic	2
